calc_version,year,style,style_name,style_order,horizon,horizon_months,signal_type,signal_name,month_count,factor_count,factor_month_obs,win_rate,ic_std,is_partial_year,metric,metric_name,value
v1,2022,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.75,0.020508,False,IC,IC Mean,0.016257
v1,2022,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.5,0.048345,False,IC,IC Mean,-0.003037
v1,2022,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.333333,0.096955,False,IC,IC Mean,-0.033695
v1,2022,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.833333,0.055834,False,IC,IC Mean,0.039528
v1,2022,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.75,0.083578,False,IC,IC Mean,0.064696
v1,2023,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.833333,0.059556,False,IC,IC Mean,0.06603
v1,2023,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.833333,0.01824,False,IC,IC Mean,0.019176
v1,2023,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.5,0.050448,False,IC,IC Mean,-0.004946
v1,2023,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.5,0.092272,False,IC,IC Mean,-0.005776
v1,2023,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.75,0.043536,False,IC,IC Mean,0.036272
v1,2023,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.080067,False,IC,IC Mean,0.103482
v1,2024,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.833333,0.07906,False,IC,IC Mean,0.043715
v1,2024,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.666667,0.045042,False,IC,IC Mean,0.017973
v1,2024,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.666667,0.065889,False,IC,IC Mean,0.027465
v1,2024,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.333333,0.114712,False,IC,IC Mean,-0.034673
